token,is_oov,tag
Kera,False,NN
untuk,False,SC
amankan,True,VB
pesta olahraga,True,NN
,True,
Pemerintah,False,NNP
kota,False,NNP
Delhi,False,NNP
mengerahkan,False,VB
monyet,False,NN
untuk,False,SC
mengusir,False,VB
monyet-monyet,True,NN
lain,False,JJ
yang,False,SC
berbadan,False,VB
lebih,False,RB
kecil,False,JJ
dari,False,IN
arena,False,NN
Pesta Olahraga,True,NNP
Persemakmuran,False,NNP
.,False,Z
,True,
Beberapa,False,CD
laporan,False,NN
menyebutkan,False,VB
setidaknya,False,RB
10,False,CD
monyet,False,NN
ditempatkan,False,VB
di,False,IN
luar,False,NN
arena,False,NN
lomba,False,NN
dan,False,CC
pertandingan,False,NN
di,False,IN
ibukota,False,NNP
India,False,NNP
.,False,Z
,True,
Pemkot,False,NNP
Delhi,False,NNP
memiliki,False,VB
28,False,CD
monyet,False,NN
dan,False,CC
berencana,False,VB
mendatangkan,False,VB
10,False,CD
monyet,False,NN
sejenis,False,NN
dari,False,IN
negara bagian,True,NNP
Rajasthan,False,NNP
.,False,Z
,True,
Jumlah,False,NN
monyet,False,NN
di,False,IN
ibukota,False,NNP
India,False,NNP
mencapai,False,VB
ribuan,False,CD
",",False,Z
sebagian besar,True,NN
berada,False,VB
di,False,IN
kantor-kantor,True,NN
pemerintah,False,NN
dan,False,CC
hewan,False,NN
ini,False,PR
dianggap,False,VB
mengganggu,False,VB
ketertiban,False,NN
umum,False,JJ
.,False,Z
,True,
Jenis,False,NN
monyet,False,NN
yang,False,SC
dikerahkan,False,VB
pemkot,False,NN
berbadan,False,VB
besar,False,JJ
",",False,Z
berekor,False,VB
panjang,False,JJ
",",False,Z
dan,False,CC
memiliki,False,VB
wajah,False,NN
berwarna,False,VB
hitam,False,JJ
.,False,Z
,True,
Monyet,False,NN
ini,False,PR
diikat,False,VB
dengan,False,IN
tali,False,NN
panjang,False,JJ
dan,False,CC
pelatih,False,NN
yang,False,SC
mengawasi,False,VB
mereka,False,PRP
akan,False,MD
melepas,False,VB
tali,False,NN
begitu,False,SC
monyet-monyet,True,NN
kecil,False,JJ
lain,False,JJ
mendekat,False,VB
.,False,Z
,True,
Kantor,False,NNP
berita,False,NNP
AFP,False,NNP
melaporkan,False,VB
stadion,False,NN
tinju,False,NN
dan,False,CC
hockey,False,FW
mendapatkan,False,VB
perhatian,False,NN
khusus,False,JJ
karena,False,SC
sering,False,RB
diserbu,False,VB
monyet,False,NN
.,False,Z
,True,
Monyet,False,NN
besar,False,JJ
akan,False,MD
dikerahkan,False,VB
di,False,IN
dua,False,CD
stadion,False,NN
untuk,False,SC
mengusir,False,VB
serbuan,False,NN
monyet,False,NN
kecil,False,JJ
,True,
"""",False,Z
Monyet,False,NN
besar,False,JJ
akan,False,MD
dikerahkan,False,VB
di,False,IN
dua,False,CD
stadion,False,NN
tersebut,False,PR
untuk,False,SC
mengusir,False,VB
serbuan,False,NN
monyet,False,NN
kecil,False,JJ
",",False,Z
"""",False,Z
kata,False,VB
Devender,True,NNP
Prasad,False,NNP
",",False,Z
pejabat,False,NN
pemerintah,False,NNP
kota,False,NNP
Delhi,False,NNP
kepada,False,IN
kantor berita,True,NNP
AFP,False,NNP
.,False,Z
,True,
Selama,False,IN
bertahun-tahun,True,CD
monyet,False,NN
mengganggu,False,VB
warga,False,NN
Delhi,False,NNP
.,False,Z
,True,
Binatang,False,NN
ini,False,PR
menaiki,False,VB
kereta,False,NN
metro,False,NN
dan,False,CC
bahkan,False,RB
berkeliaran,False,VB
di,False,IN
kompleks,False,NN
gedung,False,NN
parlemen,False,NN
.,False,Z
,True,
Belum,False,NEG
lama,False,JJ
ini,False,PR
kawanan,False,NN
monyet,False,NN
menyerbu,False,VB
kantor,False,NN
perdana menteri,True,NN
dan,False,CC
departemen,False,NN
pertahanan,False,NN
.,False,Z
,True,
Binatang,False,NN
ini,False,PR
